UTC_TX,Latitude_raw_TX,Latitude_dir_TX,Longitude_raw_TX,Longitude_dir_TX,speed_raw_TX,heading_raw_TX,seq_num_TX,UTC_RX,Latitude_raw_RX,Latitude_dir_RX,Longitude_raw_RX,Longitude_dir_RX,speed_raw_RX,heading_raw_RX,IPG,Latency,Distance_RXTX,UTC_RAW_GPS,diff
162828.00,4437.63787,N,01056.85222,E,0.013,,64,162828.008480,4437.64252,N,01056.85918,E,8.571,229.33,1098.356000,8.480000,8.869932,162828.20,191520
162829.00,4437.63778,N,01056.85223,E,0.044,,65,162829.013436,4437.64129,N,01056.85723,E,5.211,228.04,1004.956000,13.436000,6.677651,162829.20,186564
162830.00,4437.63769,N,01056.85220,E,0.746,221.56,66,162830.007116,4437.64070,N,01056.85632,E,1.808,227.58,993.680000,7.116000,5.715190,162830.20,192884
162830.10,4437.63767,N,01056.85218,E,0.748,227.89,67,162830.202472,4437.64061,N,01056.85619,E,0.849,227.76,195.356000,102.472000,5.581349,162830.60,397528
162830.50,4437.63751,N,01056.85199,E,2.376,225.01,68,162830.600274,4437.64058,N,01056.85614,E,0.823,224.26,397.802000,100.274000,5.825712,162830.80,199726
162830.80,4437.63729,N,01056.85168,E,4.083,227.51,69,162830.807434,4437.64056,N,01056.85612,E,0.671,224.02,207.160000,7.434000,6.206514,162830.90,92566
162831.00,4437.63709,N,01056.85139,E,5.343,227.25,70,162831.012157,4437.64053,N,01056.85606,E,0.532,231.01,204.723000,12.157000,6.529123,162831.20,187843
162831.30,4437.63670,N,01056.85089,E,6.668,221.40,71,162831.311067,4437.64051,N,01056.85603,E,0.382,224.17,298.910000,11.067000,7.229286,162831.50,188933
162831.50,4437.63636,N,01056.85054,E,7.650,217.04,72,162831.506100,4437.64050,N,01056.85601,E,0.386,222.54,195.033000,6.100000,7.848057,162831.60,93900
162831.80,4437.63575,N,01056.85000,E,9.076,211.04,73,162831.810042,4437.64048,N,01056.85598,E,0.168,,303.942000,10.042000,8.949741,162831.90,89958
162832.00,4437.63525,N,01056.84966,E,10.055,205.93,74,162832.012043,4437.64048,N,01056.85597,E,0.056,,202.001000,12.043000,9.877817,162832.10,87957
162832.30,4437.63441,N,01056.84925,E,10.789,198.13,75,162832.304127,4437.64047,N,01056.85596,E,0.016,,292.084000,4.127000,11.411820,162832.40,95873
162832.40,4437.63410,N,01056.84915,E,11.240,193.94,76,162832.411089,4437.64047,N,01056.85595,E,0.027,,106.962000,11.089000,11.982265,162832.50,88911
162832.50,4437.63380,N,01056.84910,E,11.049,189.71,77,162832.506087,4437.64047,N,01056.85595,E,0.035,,94.998000,6.087000,12.532866,162832.70,193913
162832.80,4437.63290,N,01056.84904,E,10.862,181.09,78,162832.803151,4437.64047,N,01056.85595,E,0.091,,297.064000,3.151000,14.183261,162832.90,96849
162833.00,4437.63230,N,01056.84913,E,10.933,173.35,79,162833.007054,4437.64048,N,01056.85593,E,0.118,,203.903000,7.054000,15.297868,162833.40,392946
162833.30,4437.63141,N,01056.84945,E,11.054,163.93,80,162833.402265,4437.64049,N,01056.85592,E,0.114,,395.211000,102.265000,16.940422,162833.70,297735
162833.60,4437.63050,N,01056.84996,E,11.989,157.16,81,162833.703263,4437.64049,N,01056.85592,E,0.057,,300.998000,103.263000,18.601136,162833.90,196737
162833.80,4437.62996,N,01056.85045,E,11.850,148.76,82,162833.900419,4437.64049,N,01056.85592,E,0.114,,197.156000,100.419000,19.584418,162834.10,199581
162834.00,4437.62941,N,01056.85102,E,12.328,143.75,83,162834.102504,4437.64048,N,01056.85590,E,0.160,,202.085000,102.504000,20.568266,162834.70,597496
162834.40,4437.62838,N,01056.85233,E,12.588,136.19,84,162834.699232,4437.64048,N,01056.85589,E,0.189,,596.728000,299.232000,22.450037,162834.80,100768
162835.00,4437.62686,N,01056.85459,E,13.706,133.08,85,162835.019149,4437.64045,N,01056.85583,E,0.453,229.91,319.917000,19.149000,25.188431,162835.30,280851
162835.60,4437.62524,N,01056.85703,E,14.830,133.18,86,162835.610163,4437.64041,N,01056.85575,E,0.772,230.77,591.014000,10.163000,28.116438,162835.70,89837
162836.40,4437.62292,N,01056.86046,E,15.156,133.94,87,162836.412517,4437.64014,N,01056.85535,E,1.573,227.16,802.354000,12.517000,31.950190,162836.70,287483
162837.10,4437.62077,N,01056.86349,E,16.084,135.01,88,162837.109101,4437.63980,N,01056.85482,E,2.723,229.20,696.584000,9.101000,35.364269,162837.50,390899
162837.70,4437.61880,N,01056.86625,E,17.129,135.55,89,162837.707074,4437.63954,N,01056.85445,E,3.529,225.83,597.973000,7.074000,38.601025,162837.90,192926
162838.30,4437.61669,N,01056.86917,E,18.251,135.59,90,162838.302437,4437.63919,N,01056.85391,E,3.761,227.56,595.363000,2.437000,41.951689,162838.40,97563
162838.90,4437.61448,N,01056.87220,E,18.900,136.02,91,162838.905454,4437.63876,N,01056.85327,E,3.478,226.92,603.017000,5.454000,45.358157,162839.00,94546
162839.50,4437.61217,N,01056.87530,E,19.453,135.90,92,162839.508118,4437.63838,N,01056.85271,E,2.253,226.15,602.664000,8.118000,49.049831,162839.70,191882
162840.10,4437.60980,N,01056.87851,E,19.985,136.19,93,162840.105097,4437.63816,N,01056.85237,E,1.021,228.28,596.979000,5.097000,53.146994,162840.40,294903
162840.70,4437.60737,N,01056.88177,E,20.548,135.99,94,162840.707068,4437.63809,N,01056.85224,E,0.665,232.32,601.971000,7.068000,57.625233,162840.90,192932
162841.30,4437.60498,N,01056.88511,E,20.269,135.04,95,162841.304193,4437.63805,N,01056.85220,E,0.203,,597.125000,4.193000,62.086648,162841.40,95807
162841.90,4437.60259,N,01056.88845,E,20.153,135.00,96,162841.908424,4437.63805,N,01056.85222,E,0.017,,604.231000,8.424000,66.619768,162842.10,191576
162842.50,4437.60020,N,01056.89174,E,20.103,135.97,97,162842.500136,4437.63805,N,01056.85223,E,0.053,,591.712000,0.136000,71.151895,162842.60,99864
162843.10,4437.59777,N,01056.89499,E,20.187,136.43,98,162843.109171,4437.63805,N,01056.85224,E,0.055,,609.035000,9.171000,75.755780,162843.30,190829
162844.40,4437.59248,N,01056.90204,E,20.350,136.39,100,162844.411104,4437.63805,N,01056.85227,E,0.018,,1301.933000,11.104000,85.778129,162844.50,88896
162845.00,4437.58998,N,01056.90538,E,20.925,136.28,101,162845.008079,4437.63805,N,01056.85229,E,0.002,,596.975000,8.079000,90.515312,162845.20,191921
162845.60,4437.58745,N,01056.90874,E,20.982,136.61,102,162845.608096,4437.63805,N,01056.85230,E,0.042,,600.017000,8.096000,95.309123,162845.80,191904
162846.10,4437.58531,N,01056.91153,E,21.114,137.33,103,162846.107096,4437.63805,N,01056.85232,E,0.056,,499.000000,7.096000,99.360716,162846.20,92904
162846.60,4437.58317,N,01056.91428,E,21.015,137.48,104,162846.600468,4437.63805,N,01056.85233,E,0.028,,493.372000,0.468000,103.410793,162846.80,199532
162847.10,4437.58099,N,01056.91699,E,20.942,138.11,105,162847.103443,4437.63805,N,01056.85235,E,0.012,,502.975000,3.443000,107.531117,162847.30,196557
162847.60,4437.57886,N,01056.91969,E,20.208,137.97,106,162847.603093,4437.63802,N,01056.85234,E,0.131,,499.650000,3.093000,111.506803,162848.30,696907
162848.10,4437.57671,N,01056.92245,E,20.897,138.03,107,162848.298449,4437.63801,N,01056.85234,E,0.033,,695.356000,198.449000,115.558210,162848.60,301551
162848.60,4437.57458,N,01056.92522,E,20.872,137.46,108,162848.604463,4437.63800,N,01056.85234,E,0.014,,306.014000,4.463000,119.573814,162848.80,195537
162852.70,4437.55736,N,01056.94681,E,19.295,138.77,115,162852.708072,4437.63791,N,01056.85243,E,0.027,,4103.609000,8.072000,151.972992,162852.90,191928
