UTC,Latitude_raw,Latitude_dir,Longitude_raw,Longitude_dir,speed_raw,heading_raw,seq_num,trig_S,trig_H,trig_D,trig_TO
162829.000000,4437.637780,N,1056.852230,E,0.044000,0.000000,65,0,0,0,1
162830.000000,4437.637690,N,1056.852200,E,0.746000,221.560000,66,0,1,0,1
162830.100000,4437.637670,N,1056.852180,E,0.748000,227.890000,67,0,1,0,0
162830.500000,4437.637510,N,1056.851990,E,2.376000,225.010000,68,1,0,0,0
162830.800000,4437.637290,N,1056.851680,E,4.083000,227.510000,69,1,0,0,0
162831.000000,4437.637090,N,1056.851390,E,5.343000,227.250000,70,1,0,0,0
162831.300000,4437.636700,N,1056.850890,E,6.668000,221.400000,71,1,1,0,0
162831.500000,4437.636360,N,1056.850540,E,7.650000,217.040000,72,1,1,0,0
162831.800000,4437.635750,N,1056.850000,E,9.076000,211.040000,73,1,1,0,0
162832.000000,4437.635250,N,1056.849660,E,10.055000,205.930000,74,1,1,0,0
162832.300000,4437.634410,N,1056.849250,E,10.789000,198.130000,75,0,1,0,0
162832.400000,4437.634100,N,1056.849150,E,11.240000,193.940000,76,0,1,0,0
162832.500000,4437.633800,N,1056.849100,E,11.049000,189.710000,77,0,1,0,0
162832.800000,4437.632900,N,1056.849040,E,10.862000,181.090000,78,0,1,0,0
162833.000000,4437.632300,N,1056.849130,E,10.933000,173.350000,79,0,1,0,0
162833.300000,4437.631410,N,1056.849450,E,11.054000,163.930000,80,0,1,0,0
162833.600000,4437.630500,N,1056.849960,E,11.989000,157.160000,81,0,1,0,0
162833.800000,4437.629960,N,1056.850450,E,11.850000,148.760000,82,0,1,0,0
162834.000000,4437.629410,N,1056.851020,E,12.328000,143.750000,83,0,1,0,0
162834.400000,4437.628380,N,1056.852330,E,12.588000,136.190000,84,0,1,0,0
162835.000000,4437.626860,N,1056.854590,E,13.706000,133.080000,85,1,0,0,0
162835.600000,4437.625240,N,1056.857030,E,14.830000,133.180000,86,1,0,0,0
162836.400000,4437.622920,N,1056.860460,E,15.156000,133.940000,87,0,0,1,0
162837.100000,4437.620770,N,1056.863490,E,16.084000,135.010000,88,0,0,1,0
162837.700000,4437.618800,N,1056.866250,E,17.129000,135.550000,89,1,0,0,0
162838.300000,4437.616690,N,1056.869170,E,18.251000,135.590000,90,1,0,1,0
162838.900000,4437.614480,N,1056.872200,E,18.900000,136.020000,91,0,0,1,0
162839.500000,4437.612170,N,1056.875300,E,19.453000,135.900000,92,0,0,1,0
162840.100000,4437.609800,N,1056.878510,E,19.985000,136.190000,93,0,0,1,0
162840.700000,4437.607370,N,1056.881770,E,20.548000,135.990000,94,0,0,1,0
162841.300000,4437.604980,N,1056.885110,E,20.269000,135.040000,95,0,0,1,0
